% Model:              C1EqPe1Eps01.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 22:50
% Dimension:          2
% Nodes:              10201
% Expressions:        11
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u4, Gradient of u4, x component, Gradient of u4, y component, Dependent variable u6, Gradient of u6, x component, Gradient of u6, y component, , , Gradient of u4, y component
% Length unit:        m
% x                       y                        u2 (m/s)                 v2 (m/s)                 u4 (1)                   u4x (1/m)                u4y (1/m)                u6 (1)                   u6x (1/m)                u6y (1/m)                -u2*u4+u4x               -u2*u6+u6x               u4y (1/m)
0.33000000000000007       -0.5                     7.748892120225644E-17    1.57259579193171E-22     0.8992427319379739       -0.01772382374375654     0.008992472904252766     0.8992427319379739       -0.01772382374375654     0.008992472904252766     -0.017723823743756608    -0.017723823743756608    0.008992472904252766
0.33999999999999997       -0.5                     -8.13955377368002E-17    -1.5640425757746417E-22  0.8990655623987582       -0.01771009492650317     0.008990700645401969     0.8990655623987583       -0.017710094926560012    0.008990700645288282     -0.017710094926503096    -0.01771009492655994     0.008990700645401969
0.35                      -0.5                     3.504771871392833E-16    5.60220755543494E-22     0.8988885297890297       -0.017696442621515325    0.0089889297335439       0.8988885297890299       -0.01769644262151742     0.008988929733837322     -0.01769644262151564     -0.017696442621517736    0.0089889297335439
0.36                      -0.5                     6.032196276575328E-17    8.948736684886165E-23    0.8987116332516092       -0.017682881682189094    0.008987160138336238     0.8987116332516092       -0.01768288168218684     0.008987160138355856     -0.01768288168218915     -0.017682881682186895    0.008987160138336238
0.37                      -0.5                     4.6536417541145E-16      5.761597848221867E-22    0.8985348717959671       -0.017669430786150436    0.00898539183526085      0.8985348717959671       -0.017669430786150436    0.00898539183526085      -0.017669430786150856    -0.017669430786150856    0.00898539183526085
0.38                      -0.5                     5.183655233405862E-16    5.607713509148601E-22    0.8983582442466657       -0.017656100527631495    0.008983624891341725     0.8983582442466657       -0.017656100527631495    0.008983624891114352     -0.01765610052763196     -0.01765610052763196     0.008983624891341725
0.39                      -0.5                     1.0406803062289243E-16   9.420325112189464E-23    0.8981817493445945       -0.017642905651470215    0.008981859380641938     0.8981817493445945       -0.017642905651470215    0.008981859380641938     -0.01764290565147031     -0.01764290565147031     0.008981859380641938
0.4                       -0.5                     -1.21274381949801E-17    -9.60789334477158E-24    0.898005385670215        -0.01762985413805387     0.008980095286882565     0.898005385670215        -0.01762985413805387     0.008980095286996252     -0.01762985413805386     -0.01762985413805386     0.008980095286882565
0.41000000000000003       -0.5                     -1.5328808773536436E-16  -1.0402586921161467E-22  0.8978291517623246       -0.01761695648246999     0.008978332535843438     0.8978291517623247       -0.017616956482413147    0.008978332535672907     -0.017616956482469852    -0.01761695648241301     0.008978332535843438
0.42000000000000004       -0.5                     -1.2221954384871115E-16  -6.901629145979991E-23   0.8976530460207998       -0.017604219286028268    0.008976571081857255     0.8976530460207998       -0.017604219286028136    0.008976571081837104     -0.017604219286028157    -0.017604219286028025    0.008976571081857255
0.43000000000000005       -0.5                     -6.209536363712142E-16   -2.9948396146547773E-22  0.8974770668365056       -0.017591648896252806    0.00897481088741197      0.8974770668365056       -0.017591648896252806    0.00897481088741197      -0.017591648896252247    -0.017591648896252247    0.00897481088741197
0.44000000000000006       -0.5                     -2.4351315610396623E-16  -9.532164950092142E-23   0.8973012124823473       -0.01757925104364473     0.00897305194569332      0.8973012124823471       -0.017579251043613645    0.008973051945920693     -0.017579251043644512    -0.017579251043613426    0.00897305194569332
0.45000000000000007       -0.5                     1.966180743015259E-16    6.894003040651904E-23    0.8971254812515359       -0.017567027878327198    0.00897129426977089      0.8971254812515358       -0.017567027878292698    0.008971294269838186     -0.017567027878327375    -0.017567027878292875    0.00897129426977089
0.45999999999999996       -0.5                     5.649037375972475E-17    1.3402073608096274E-23   0.8969498713367207       -0.017554985186853906    0.008969537926153725     0.8969498713367207       -0.017554985186825484    0.008969537926153725     -0.017554985186853958    -0.017554985186825536    0.008969537926153725
0.47                      -0.5                     -6.405700276503649E-16   -1.3896441106341712E-22  0.8967743809721753       -0.017543121140527574    0.008967782883146347     0.8967743809721755       -0.017543121140545338    0.008967782882918973     -0.017543121140526998    -0.01754312114054476     0.008967782883146347
0.48                      -0.5                     -1.8406818600060792E-16  -2.5340354039537418E-23  0.8965990083102985       -0.017531441683293195    0.008966029055250093     0.8965990083102985       -0.017531441683262542    0.00896602905537188      -0.017531441683293028    -0.017531441683262376    0.008966029055250093
0.49                      -0.5                     7.313949204606183E-17    1.0199815842863066E-23   0.8964237515617156       -0.017519941554043083    0.008964276416510817     0.8964237515617156       -0.017519941554043083    0.008964276416510817     -0.01751994155404315     -0.01751994155404315     0.008964276416510817
0.5                       -0.5                     3.5891726139276314E-16   1.6981617630057325E-23   0.8962486088695851       -0.017508627185925378    0.008962524888253163     0.896248608869585        -0.017508627185955233    0.00896252488829826      -0.0175086271859257      -0.017508627185955555    0.008962524888253163
-0.5                      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.49                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.48                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.47                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.46                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.45                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.44                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.43                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.42                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.41000000000000003      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.4                      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.39                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.38                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.37                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.36                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.35                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.33999999999999997      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.32999999999999996      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.32                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.31                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.3                      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.29000000000000004      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.28                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.27                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.26                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.25                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.24                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.22999999999999998      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.21999999999999997      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.21000000000000002      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.2                      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.19                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.18                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.16999999999999998      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.15999999999999998      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.14999999999999997      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.14                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.13                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.12                     -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.10999999999999999      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.09999999999999998      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
-0.08999999999999997      -0.49                    NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
