% Model:              C2EQPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 4 2021, 09:47
% Dimension:          2
% Nodes:              4001
% Expressions:        10
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Gradient of u3, y component, , , , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u3y (1/m)                -u*u3+0.1*u3x            u5 (1)                   u5x (1/m)                u5y (1/m)                -u*u5+0.1*u5x
-0.895                    -0.5                     0.9688981910495488       4.873233252865418E-5     0.9999995054509612       -1.4035092126612742E-5   4.4645953299939485E-9    -0.9688991153910923      0                        0                        0                        0
-0.894                    -0.5                     0.9683326025880954       4.9136082703017935E-5    0.9999994912343088       -1.4398212534999062E-5   4.633312015061401E-9     -0.9683335497549429      0                        0                        0                        0
-0.893                    -0.5                     0.9677624512841276       4.953885442207169E-5     0.9999994766545363       -1.4761332976247987E-5   4.8020349173746005E-9    -0.9677634209433363      0                        0                        0                        0
-0.892                    -0.5                     0.9671877371376447       4.994064768581502E-5     0.9999994617116428       -1.5124453373532082E-5   4.970764481025657E-9     -0.9671887289570839      0                        0                        0                        0
-0.891                    -0.5                     0.9666084601486474       5.0341462494247975E-5    0.9999994464056294       -1.5487573799237883E-5   5.139490491963035E-9     -0.9666094737970252      0                        0                        0                        0
-0.89                     -0.5                     0.9660246203171353       5.0741298847369676E-5    0.9999994307364954       -1.5850694201851046E-5   5.308212950193697E-9     -0.9660256554639947      0                        0                        0                        0
-0.889                    -0.5                     0.9654362176431084       5.114015674518177E-5     0.9999994147042413       -1.6213814632885917E-5   5.4769354084150756E-9    -0.9654372739588482      0                        0                        0                        0
-0.888                    -0.5                     0.9648432521265669       5.1538036187682815E-5    0.9999993983088661       -1.6576935063920785E-5   5.645654313932058E-9     -0.9648443292824428      0                        0                        0                        0
-0.887                    -0.5                     0.96424572376751         5.193493717487358E-5     0.9999993815503707       -1.6940055473639378E-5   5.814373219444399E-9     -0.964246821435647       0                        0                        0                        0
-0.886                    -0.5                     0.9636436451822668       5.233086236308108E-5     0.9999993644366686       -1.7280943551592172E-5   5.991390346442454E-9     -0.9636447608200565      0                        0                        0                        0
-0.885                    -0.5                     0.9630371662733075       5.272586442619373E-5     0.9999993469537639       -1.768486615180532E-5    6.189412121777788E-9     -0.963038305852126       0                        0                        0                        0
-0.884                    -0.5                     0.9624263280045344       5.311996379693649E-5     0.9999993290669362       -1.8088788752018476E-5   6.3874267916764785E-9    -0.9624274911597648      0                        0                        0                        0
-0.883                    -0.5                     0.9618111303759486       5.351316047530952E-5     0.9999993107761861       -1.8492711348678917E-5   6.585462777847958E-9     -0.961812316743948       0                        0                        0                        0
-0.882                    -0.5                     0.9611915733875491       5.390545446131098E-5     0.9999992920815136       -1.8896633952444786E-5   6.783484553174007E-9     -0.9611927826056605      0                        0                        0                        0
-0.881                    -0.5                     0.9605676570393366       5.4296845754942077E-5    0.9999992729829185       -1.930055654910522E-5    6.981495670365982E-9     -0.9605688887458969      0                        0                        0                        0
-0.88                     -0.5                     0.9599393813313105       5.468733435620269E-5     0.9999992534804005       -1.9704479151982908E-5   7.179531656546747E-9     -0.9599406351656632      0                        0                        0                        0
-0.879                    -0.5                     0.9593067462634709       5.507692026509352E-5     0.99999923357396         -2.010840177040372E-5    7.377561425477412E-9     -0.9593080218659773      0                        0                        0                        0
-0.878                    -0.5                     0.9586697518358183       5.546560348161351E-5     0.9999992132635969       -2.0512324363289405E-5   7.575563327807475E-9     -0.9586710488478623      0                        0                        0                        0
-0.877                    -0.5                     0.9580283980483524       5.585338400576258E-5     0.9999991925493114       -2.0916246959727798E-5   7.773579218951276E-9     -0.9580297161123587      0                        0                        0                        0
-0.876                    -0.5                     0.957382684901073        5.624026183754164E-5     0.999999171431103        -2.1320169576816343E-5   7.971616981488299E-9     -0.9573840236605154      0                        0                        0                        0
-0.875                    -0.5                     0.9567326123939804       5.6626236976949975E-5    0.9999991499089721       -2.172409217347678E-5    8.169615664174275E-9     -0.9567339714933878      0                        0                        0                        0
-0.874                    -0.5                     0.9560781805270743       5.701130942398774E-5     0.9999991279829188       -2.2128014775466294E-5   8.36768007206447E-9      -0.9560795596120474      0                        0                        0                        0
-0.873                    -0.5                     0.9554193893003552       5.739547917865491E-5     0.9999991056529427       -2.2531937400548438E-5   8.565687636540444E-9     -0.9554207880175759      0                        0                        0                        0
-0.872                    -0.5                     0.9547562387138225       5.777874624095172E-5     0.9999990829190439       -2.2935859965234457E-5   8.763752044425997E-9     -0.954757656711055       0                        0                        0                        0
-0.871                    -0.5                     0.9540887287674764       5.8161110610878205E-5    0.9999990597812225       -2.333978257255304E-5    8.961773819752046E-9     -0.9540901656935954      0                        0                        0                        0
-0.87                     -0.5                     0.9534168607647848       5.8542571814713014E-5    0.9999990362516106       -2.3422651868728132E-5   8.964601916423774E-9     -0.9534182841760077      0                        0                        0                        0
-0.869                    -0.5                     0.9527407840408659       5.892314178297331E-5     0.999999012514468        -2.405163293956985E-5    9.343098024694651E-9     -0.9527422483864199      0                        0                        0                        0
-0.868                    -0.5                     0.9520605735356525       5.930285472255407E-5     0.9999989881483445       -2.468061413120384E-5    9.721608343809778E-9     -0.9520620782529983      0                        0                        0                        0
-0.867                    -0.5                     0.9513762292491444       5.968171063345502E-5     0.99999896315324         -2.5309595244678127E-5   1.0100136426503765E-8    -0.9513777737773081      0                        0                        0                        0
-0.866                    -0.5                     0.9506877511813416       6.0059709515676696E-5    0.9999989375291539       -2.593857632440164E-5    1.0478636087483087E-8    -0.9506893349609548      0                        0                        0                        0
-0.865                    -0.5                     0.9499951393322441       6.043685136921837E-5     0.9999989112760871       -2.6567557434323213E-5   1.0857142853895003E-8    -0.9499967618055621      0                        0                        0                        0
-0.864                    -0.5                     0.9492983937018519       6.081313619408125E-5     0.9999988843940393       -2.7196538570001962E-5   1.123562475130593E-8     -0.9493000543127623      0                        0                        0                        0
-0.863                    -0.5                     0.9485975142901648       6.118856399026382E-5     0.9999988568830099       -2.7825519678147173E-5   1.1614112865973648E-8    -0.9485992124841973      0                        0                        0                        0
